Original Filename,Category,Cloudinary Public ID,Cloudinary URL,Resource Type,File Extension,Upload Status,Tags,Folder Structure,Slug,Local Path,Description,Dimensions,Usage
"gold-logo-banner.png","brand","disruptors-media/brand/logos/gold_logo_banner","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/gold_logo_banner.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","gold_logo_banner","/public/assets/images/logos/gold-logo-banner.png","Gold banner version of company logo","1200x300","Website header, banner sections"
"gold-logo.png","brand","disruptors-media/brand/logos/gold_logo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/gold_logo.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","gold_logo","/public/assets/images/logos/gold-logo.png","Primary gold logo","512x512","General branding, headers"
"logo-emboss.png","brand","disruptors-media/brand/logos/logo_emboss","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/logo_emboss.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","logo_emboss","/public/assets/images/logos/logo-emboss.png","Embossed version of logo","512x512","Special sections, about page"
"logo-menu.png","brand","disruptors-media/brand/logos/logo_menu","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/logo_menu.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","logo_menu","/public/assets/images/logos/logo-menu.png","Logo optimized for menu usage","200x50","Navigation menu, header"
"logo.svg","brand","disruptors-media/brand/logos/logo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/logo.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","logo_svg","/public/assets/images/logos/logo.svg","SVG version of primary logo","Scalable","All sections requiring scalable logo"
"mobile-menu-logo.png","brand","disruptors-media/brand/logos/mobile_menu_logo","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/brand/logos/mobile_menu_logo.png","image",".png","READY_FOR_UPLOAD","dm3-migration,brand,logos","disruptors-media/brand/logos","mobile_menu_logo","/public/assets/images/logos/mobile-menu-logo.png","Mobile-optimized menu logo","150x40","Mobile navigation, responsive header"
"arrow-cta.svg","icons","disruptors-media/ui/icons/arrow_cta","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/arrow_cta.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","arrow_cta","/public/assets/images/icons/arrow-cta.svg","Call-to-action arrow icon","24x24","Buttons, CTAs, navigation"
"favicon.png","icons","disruptors-media/ui/icons/favicon","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/favicon.png","image",".png","READY_FOR_UPLOAD","dm3-migration,ui,icons","disruptors-media/ui/icons","favicon","/public/assets/images/icons/favicon.png","Website favicon","32x32","Browser tab, bookmarks"
"fb.svg","icons","disruptors-media/ui/icons/fb","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/fb.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,social","disruptors-media/ui/icons","fb","/public/assets/images/icons/fb.svg","Facebook social icon","24x24","Social media links, footer"
"insta.svg","icons","disruptors-media/ui/icons/insta","https://res.cloudinary.com/dvcvxhzmt/image/upload/f_auto,q_auto/disruptors-media/ui/icons/insta.svg","image",".svg","READY_FOR_UPLOAD","dm3-migration,ui,icons,social","disruptors-media/ui/icons","insta","/public/assets/images/icons/insta.svg","Instagram social icon","24x24","Social media links, footer"
