Old Path,New Path,Folder,Filename,Status,Moved Date
"logos/logo","disruptors-media/misc/unmapped/logo","disruptors-media/misc/unmapped","logo","moved","2025-09-12T22:12:38.649Z"
"logos/gold-logo","disruptors-media/misc/unmapped/gold-logo","disruptors-media/misc/unmapped","gold-logo","moved","2025-09-12T22:12:38.743Z"
"backgrounds/book-a-call-bg","disruptors-media/misc/unmapped/book-a-call-bg","disruptors-media/misc/unmapped","book-a-call-bg","moved","2025-09-12T22:12:38.784Z"
"logos/logo-emboss","disruptors-media/misc/unmapped/logo-emboss","disruptors-media/misc/unmapped","logo-emboss","moved","2025-09-12T22:12:39.064Z"
"backgrounds/poster","disruptors-media/misc/unmapped/poster","disruptors-media/misc/unmapped","poster","moved","2025-09-12T22:12:39.205Z"
"backgrounds/bg-what-we-do","disruptors-media/misc/unmapped/bg-what-we-do","disruptors-media/misc/unmapped","bg-what-we-do","moved","2025-09-12T22:12:39.254Z"
"backgrounds/poster-abt","disruptors-media/misc/unmapped/poster-abt","disruptors-media/misc/unmapped","poster-abt","moved","2025-09-12T22:12:39.336Z"
"backgrounds/mobile-sec-bg","disruptors-media/misc/unmapped/mobile-sec-bg","disruptors-media/misc/unmapped","mobile-sec-bg","moved","2025-09-12T22:12:39.349Z"
"logos/gold-logo-banner","disruptors-media/misc/unmapped/gold-logo-banner","disruptors-media/misc/unmapped","gold-logo-banner","moved","2025-09-12T22:12:39.469Z"
"backgrounds/main-bg","disruptors-media/misc/unmapped/main-bg","disruptors-media/misc/unmapped","main-bg","moved","2025-09-12T22:12:39.656Z"
"social-icons/twitter","disruptors-media/misc/unmapped/twitter","disruptors-media/misc/unmapped","twitter","moved","2025-09-12T22:12:42.390Z"
"social-icons/youtube","disruptors-media/misc/unmapped/youtube","disruptors-media/misc/unmapped","youtube","moved","2025-09-12T22:12:42.415Z"
"logos/logo-menu","disruptors-media/misc/unmapped/logo-menu","disruptors-media/misc/unmapped","logo-menu","moved","2025-09-12T22:12:42.419Z"
"ui-elements/arrow-cta","disruptors-media/misc/unmapped/arrow-cta","disruptors-media/misc/unmapped","arrow-cta","moved","2025-09-12T22:12:42.459Z"
"logos/mobile-menu-logo","disruptors-media/misc/unmapped/mobile-menu-logo","disruptors-media/misc/unmapped","mobile-menu-logo","moved","2025-09-12T22:12:42.558Z"
"ui-elements/mute-icon","disruptors-media/misc/unmapped/mute-icon","disruptors-media/misc/unmapped","mute-icon","moved","2025-09-12T22:12:42.594Z"
"social-icons/fb","disruptors-media/misc/unmapped/fb","disruptors-media/misc/unmapped","fb","moved","2025-09-12T22:12:42.614Z"
"social-icons/insta","disruptors-media/misc/unmapped/insta","disruptors-media/misc/unmapped","insta","moved","2025-09-12T22:12:42.657Z"
"ui-elements/favicon","disruptors-media/misc/unmapped/favicon","disruptors-media/misc/unmapped","favicon","moved","2025-09-12T22:12:42.671Z"
"ui-elements/minus-icon","disruptors-media/misc/unmapped/minus-icon","disruptors-media/misc/unmapped","minus-icon","moved","2025-09-12T22:12:42.708Z"
"ui-elements/prev-arrow","disruptors-media/misc/unmapped/prev-arrow","disruptors-media/misc/unmapped","prev-arrow","moved","2025-09-12T22:12:45.463Z"
"ui-elements/pause-icon","disruptors-media/misc/unmapped/pause-icon","disruptors-media/misc/unmapped","pause-icon","moved","2025-09-12T22:12:45.506Z"
"ui-elements/play-icon","disruptors-media/misc/unmapped/play-icon","disruptors-media/misc/unmapped","play-icon","moved","2025-09-12T22:12:45.603Z"
"ui-elements/plus-icon","disruptors-media/misc/unmapped/plus-icon","disruptors-media/misc/unmapped","plus-icon","moved","2025-09-12T22:12:45.626Z"
"feature-graphics/hand-robot","disruptors-media/misc/unmapped/hand-robot","disruptors-media/misc/unmapped","hand-robot","moved","2025-09-12T22:12:45.697Z"
"feature-graphics/hand-srv","disruptors-media/misc/unmapped/hand-srv","disruptors-media/misc/unmapped","hand-srv","moved","2025-09-12T22:12:45.970Z"
"feature-graphics/hand-human","disruptors-media/misc/unmapped/hand-human","disruptors-media/misc/unmapped","hand-human","moved","2025-09-12T22:12:46.040Z"
"ui-elements/play-ico","disruptors-media/misc/unmapped/play-ico","disruptors-media/misc/unmapped","play-ico","moved","2025-09-12T22:12:46.082Z"
"feature-graphics/phone","disruptors-media/misc/unmapped/phone","disruptors-media/misc/unmapped","phone","moved","2025-09-12T22:12:46.418Z"
"feature-graphics/after-phone-sec","disruptors-media/misc/unmapped/after-phone-sec","disruptors-media/misc/unmapped","after-phone-sec","moved","2025-09-12T22:12:46.624Z"
"feature-graphics/what-we-do-abt-3","disruptors-media/misc/unmapped/what-we-do-abt-3","disruptors-media/misc/unmapped","what-we-do-abt-3","moved","2025-09-12T22:12:49.976Z"
"feature-graphics/services-img","disruptors-media/misc/unmapped/services-img","disruptors-media/misc/unmapped","services-img","moved","2025-09-12T22:12:50.161Z"
"feature-graphics/what-we-do-frame","disruptors-media/misc/unmapped/what-we-do-frame","disruptors-media/misc/unmapped","what-we-do-frame","moved","2025-09-12T22:12:50.169Z"
"feature-graphics/what-we-do-bx-1","disruptors-media/misc/unmapped/what-we-do-bx-1","disruptors-media/misc/unmapped","what-we-do-bx-1","moved","2025-09-12T22:12:50.244Z"
"feature-graphics/what-we-do-abt-2","disruptors-media/misc/unmapped/what-we-do-abt-2","disruptors-media/misc/unmapped","what-we-do-abt-2","moved","2025-09-12T22:12:50.245Z"
"feature-graphics/what-we-do-abt","disruptors-media/misc/unmapped/what-we-do-abt","disruptors-media/misc/unmapped","what-we-do-abt","moved","2025-09-12T22:12:50.418Z"
"feature-graphics/what-we-do-bx-2","disruptors-media/misc/unmapped/what-we-do-bx-2","disruptors-media/misc/unmapped","what-we-do-bx-2","moved","2025-09-12T22:12:50.478Z"
"feature-graphics/what-we-do-bx","disruptors-media/misc/unmapped/what-we-do-bx","disruptors-media/misc/unmapped","what-we-do-bx","moved","2025-09-12T22:12:50.495Z"
"feature-graphics/what-we-do-bx-3","disruptors-media/misc/unmapped/what-we-do-bx-3","disruptors-media/misc/unmapped","what-we-do-bx-3","moved","2025-09-12T22:12:50.599Z"
"feature-graphics/what-we-do-abt-1","disruptors-media/misc/unmapped/what-we-do-abt-1","disruptors-media/misc/unmapped","what-we-do-abt-1","moved","2025-09-12T22:12:51.800Z"
"podcast-content/pd-new-sm1-3","disruptors-media/misc/unmapped/pd-new-sm1-3","disruptors-media/misc/unmapped","pd-new-sm1-3","moved","2025-09-12T22:12:55.113Z"
"podcast-content/pd-new-sm-2","disruptors-media/misc/unmapped/pd-new-sm-2","disruptors-media/misc/unmapped","pd-new-sm-2","moved","2025-09-12T22:12:55.175Z"
"podcast-content/pd-new-sm1","disruptors-media/misc/unmapped/pd-new-sm1","disruptors-media/misc/unmapped","pd-new-sm1","moved","2025-09-12T22:12:55.199Z"
"podcast-content/pd-new-sm1-2","disruptors-media/misc/unmapped/pd-new-sm1-2","disruptors-media/misc/unmapped","pd-new-sm1-2","moved","2025-09-12T22:12:55.241Z"
"podcast-content/pd-new-sm","disruptors-media/misc/unmapped/pd-new-sm","disruptors-media/misc/unmapped","pd-new-sm","moved","2025-09-12T22:12:55.276Z"
"podcast-content/pd-new-sm-1","disruptors-media/misc/unmapped/pd-new-sm-1","disruptors-media/misc/unmapped","pd-new-sm-1","moved","2025-09-12T22:12:55.290Z"
"podcast-content/pd-new-sm1-1","disruptors-media/misc/unmapped/pd-new-sm1-1","disruptors-media/misc/unmapped","pd-new-sm1-1","moved","2025-09-12T22:12:55.325Z"
"podcast-content/podcast-new-lg-1","disruptors-media/misc/unmapped/podcast-new-lg-1","disruptors-media/misc/unmapped","podcast-new-lg-1","moved","2025-09-12T22:12:55.343Z"
"podcast-content/podcast-new-lg","disruptors-media/misc/unmapped/podcast-new-lg","disruptors-media/misc/unmapped","podcast-new-lg","moved","2025-09-12T22:12:55.516Z"
"podcast-content/pd-new-sm-3","disruptors-media/misc/unmapped/pd-new-sm-3","disruptors-media/misc/unmapped","pd-new-sm-3","moved","2025-09-12T22:12:55.987Z"
"client-assets/client-2","disruptors-media/misc/unmapped/client-2","disruptors-media/misc/unmapped","client-2","moved","2025-09-12T22:12:58.756Z"
"client-assets/client-1","disruptors-media/misc/unmapped/client-1","disruptors-media/misc/unmapped","client-1","moved","2025-09-12T22:12:58.923Z"
