filename,category,cloudinary_url,public_id,width,height,format,size_bytes,was_compressed,upload_date,tags,migration_notes
"GL3A0022.JPG","studio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712352/disruptors-media/content/studio/gl3a0022.jpg","disruptors-media/content/studio/gl3a0022","8192","5464","jpg","2626778","Yes","2025-09-12","disruptors-media,priority,studio","Priority upload - Compressed for size limit"
"GL3A0026.JPG","studio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712357/disruptors-media/content/studio/gl3a0026.jpg","disruptors-media/content/studio/gl3a0026","8192","5464","jpg","9426237","No","2025-09-12","disruptors-media,priority,studio","Priority upload - Original quality"
"GL3A0030.JPG","studio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712362/disruptors-media/content/studio/gl3a0030.jpg","disruptors-media/content/studio/gl3a0030","8192","5464","jpg","2181613","Yes","2025-09-12","disruptors-media,priority,studio","Priority upload - Compressed for size limit"
"GL3A0042.JPG","studio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712366/disruptors-media/content/studio/gl3a0042.jpg","disruptors-media/content/studio/gl3a0042","8192","5464","jpg","2127448","Yes","2025-09-12","disruptors-media,priority,studio","Priority upload - Compressed for size limit"
"Photo Nov 15 2024, 3 36 11 PM.jpg","studio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712370/disruptors-media/content/studio/photo_nov_15_2024.jpg","disruptors-media/content/studio/photo_nov_15_2024","4032","3024","jpg","2781410","No","2025-09-12","disruptors-media,priority,studio","Priority upload - Original quality"
"work-1.jpg","portfolio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712371/disruptors-media/content/portfolio/work-1.jpg","disruptors-media/content/portfolio/work-1","726","726","jpg","161005","No","2025-09-12","disruptors-media,priority,portfolio","Priority upload - Original quality"
"work-2.jpg","portfolio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712373/disruptors-media/content/portfolio/work-2.jpg","disruptors-media/content/portfolio/work-2","726","726","jpg","95097","No","2025-09-12","disruptors-media,priority,portfolio","Priority upload - Original quality"
"work-3.jpg","portfolio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712374/disruptors-media/content/portfolio/work-3.jpg","disruptors-media/content/portfolio/work-3","726","726","jpg","83849","No","2025-09-12","disruptors-media,priority,portfolio","Priority upload - Original quality"
"work-4.jpg","portfolio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712376/disruptors-media/content/portfolio/work-4.jpg","disruptors-media/content/portfolio/work-4","726","726","jpg","95293","No","2025-09-12","disruptors-media,priority,portfolio","Priority upload - Original quality"
"work-5.jpg","portfolio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712377/disruptors-media/content/portfolio/work-5.jpg","disruptors-media/content/portfolio/work-5","726","726","jpg","68644","No","2025-09-12","disruptors-media,priority,portfolio","Priority upload - Original quality"
"work-6.jpg","portfolio","https://res.cloudinary.com/dvcvxhzmt/image/upload/v1757712378/disruptors-media/content/portfolio/work-6.jpg","disruptors-media/content/portfolio/work-6","726","726","jpg","102034","No","2025-09-12","disruptors-media,priority,portfolio","Priority upload - Original quality"
